Country,Continent,Year,Import (US$ Billion)
Trinidad and Tobago,North America,2002,4.53342877
Tunisia,Africa,2002,6.86150774
Turkey,Asia,2002,36.45041792
Tuvalu,Oceania,2002,0.34093613
Tanzania,Africa,2002,0.80596817
Uganda,Africa,2002,0.42009067
Ukraine,Europe,2002,17.71782252
Uruguay,South America,2002,2.36920666
United States,North America,2002,732.5222533
Uzbekistan,Asia,2002,2.64358149
Holy See,Europe,2002,0.00603799
St. Vincent and the Grenadines,North America,2002,0.18229276
Venezuela,South America,2002,24.89048714
Vietnam,Asia,2002,16.87462817
Vanuatu,Oceania,2002,0.06259585
Samoa,Oceania,2002,0.06561005
Yemen,Asia,2002,2.82095941
South Africa,Africa,2002,41.45366368
DR Congo,Africa,2002,1.46428267
Zambia,Africa,2002,0.75634293
Zimbabwe,Africa,2002,1.93211117
Afghanistan,Asia,2003,0.19194888
Angola,Africa,2003,9.32213409
Albania,Europe,2003,0.47794614
Andorra,Europe,2003,0.08826203
United Arab Emirates,Asia,2003,46.87490915
Argentina,South America,2003,32.56349349
Armenia,Europe,2003,0.60807537
Antigua and Barbuda,North America,2003,0.41604185
Australia,Oceania,2003,75.15768421
Austria,Europe,2003,79.62530817
Azerbaijan,Europe,2003,1.93021673
Burundi,Africa,2003,0.06551296
Belgium,Europe,2003,185.5908869
Benin,Africa,2003,0.46848807
Bangladesh,Asia,2003,8.41013581
Bulgaria,Europe,2003,7.29368859
Bahrain,Asia,2003,3.23767222
Bahamas,North America,2003,1.64254054
Bosnia and Herzegovina,Europe,2003,1.25421434
Belarus,Europe,2003,8.52981795
Belize,North America,2003,0.29026789
Bolivia,South America,2003,1.7535134
Brazil,South America,2003,80.94113229
Barbados,North America,2003,0.39306042
Brunei,Asia,2003,4.30593887
Bhutan,Asia,2003,0.05847709
Botswana,Africa,2003,2.06550369
Central African Republic,Africa,2003,0.13275854
Canada,North America,2003,277.8397759
Switzerland,Europe,2003,111.550827
Chile,South America,2003,22.77536428
China,Asia,2003,639.3582394
Ivory Coast,Africa,2003,5.17507418
Cameroon,Africa,2003,2.66363516
Republic of the Congo,Africa,2003,2.72511033
Colombia,South America,2003,15.03942415
Comoros,Africa,2003,0.03735242
Cape Verde,Africa,2003,0.02068151
Costa Rica,North America,2003,10.65968399
Cuba,North America,2003,1.30834932
Cyprus,Europe,2003,1.30594221
Czechia,Europe,2003,48.85575938
Germany,Europe,2003,714.276587
Djibouti,Africa,2003,0.07339124
Dominica,North America,2003,0.0702412
Denmark,Europe,2003,58.82022059
Dominican Rep.,North America,2003,5.3396973
Algeria,Africa,2003,22.57306831
Ecuador,South America,2003,7.48584154
Egypt,Africa,2003,8.71470373
Eritrea,Africa,2003,0.01714865
Spain,Europe,2003,146.3404817
Estonia,Europe,2003,5.31197753
Ethiopia,Africa,2003,0.51294125
Finland,Europe,2003,51.1003335
Fiji,Oceania,2003,0.60228888
France,Europe,2003,366.6967371
Micronesia,Oceania,2003,0.08689443
Gabon,Africa,2003,3.52916396
United Kingdom,Europe,2003,289.0176257
Georgia,Europe,2003,1.01623786
Ghana,Africa,2003,2.49030694
Guinea,Africa,2003,0.97863271
Gambia,Africa,2003,0.03237213
Guinea-Bissau,Africa,2003,0.07605717
Equatorial Guinea,Africa,2003,2.7428195
Greece,Europe,2003,12.85042792
Grenada,North America,2003,0.0513549
Guatemala,North America,2003,5.33307562
Guyana,South America,2003,0.59356184
Honduras,North America,2003,4.45796904
Croatia,Europe,2003,4.94778246
Haiti,North America,2003,0.38139601
Hungary,Europe,2003,41.74801013
Indonesia,Asia,2003,81.77299076
India,Asia,2003,67.36414678
Ireland,Europe,2003,115.8557445
Iran,Asia,2003,29.4519784
Iraq,Asia,2003,9.20515253
Iceland,Europe,2003,2.61426628
Israel,Asia,2003,30.70547445
Italy,Europe,2003,277.4338433
Jamaica,North America,2003,1.58715578
Jordan,Asia,2003,2.71673606
Japan,Asia,2003,523.3181554
Kazakhstan,Asia,2003,11.4791332
Kenya,Africa,2003,2.41579014
Kyrgyzstan,Asia,2003,0.46417494
Cambodia,Asia,2003,2.43561143
Kiribati,Oceania,2003,0.02654203
St. Kitts and Nevis,North America,2003,0.066814
South Korea,Asia,2003,204.1098952
Kuwait,Asia,2003,20.52643086
Laos,Asia,2003,0.36898752
Lebanon,Asia,2003,1.90722914
Liberia,Africa,2003,1.01716101
Libya,Africa,2003,13.93572126
St. Lucia,North America,2003,0.98341659
Sri Lanka,Asia,2003,5.40064024
Lesotho,Africa,2003,0.43782359
Lithuania,Europe,2003,6.5882268
Luxembourg,Europe,2003,11.40299523
Latvia,Europe,2003,3.79145384
Morocco,Africa,2003,10.22065762
Moldova,Europe,2003,1.07740053
Madagascar,Africa,2003,1.20994668
Maldives,Asia,2003,0.21060427
Mexico,North America,2003,168.2523612
Marshall Islands,Oceania,2003,0.19075149
North Macedonia,Europe,2003,1.07918948
Mali,Africa,2003,0.84688686
Malta,Europe,2003,3.23491376
Myanmar,Asia,2003,2.81287483
Mongolia,Asia,2003,0.67467424
Mozambique,Africa,2003,1.09352837
Mauritania,Africa,2003,0.60478955
Mauritius,Africa,2003,1.88447067
Malawi,Africa,2003,0.56398943
Malaysia,Asia,2003,133.4644934
Namibia,Africa,2003,0.88404829
Niger,Africa,2003,0.11944061
Nigeria,Africa,2003,24.94598611
Nicaragua,North America,2003,1.23913323
Netherlands,Europe,2003,229.2137315
Norway,Europe,2003,70.74764368
